# Unique Id,DIST
0, 0.05
1, 0.83
2, 0.20
3, 0.20
4, 0.20
5, 0.83
6, 0.83
7, 0.83
8, 0.83
9, 0.83
10, 0.83
11, 0.83
12, 0.83
13, 0.83
14, 0.83
15, 0.83
16, 0.83
17, 0.83
18, 0.83
19, 0.83
20, 0.83
21, 0.83
22, 0.83
23, 0.20
24, 0.20
25, 0.83
26, 0.20
27, 0.20
28, 0.20
29, 0.83
30, 0.83
31, 0.83
32, 0.83
33, 0.20
34, 0.83
35, 0.83
36, 0.83
37, 0.83
38, 0.83
39, 0.83
40, 0.83
41, 0.83
42, 0.83
43, 0.83
44, 0.20
45, 0.92
46, 0.20
47, 0.20
48, 0.83
49, 0.92
50, 0.83
51, 0.83
52, 0.92
53, 0.92
54, 0.92
55, 0.83
56, 0.83
57, 0.83
58, 0.83
59, 0.83
60, 0.92
61, 0.83
62, 0.83
63, 0.83
64, 0.83
65, 0.83
66, 0.83
67, 0.83
68, 0.83
69, 0.83
70, 0.83
71, 0.83
72, 0.83
73, 0.83
74, 0.83
75, 0.20
76, 0.83
77, 0.20
78, 0.20
79, 0.83
80, 0.83
81, 0.83
82, 0.83
83, 0.83
84, 0.83
85, 0.83
86, 0.83
87, 0.83
88, 0.20
89, 0.20
90, 0.20
91, 0.20
92, 0.20
93, 0.92
94, 0.20
95, 0.83
96, 0.83
97, 0.83
98, 0.83
99, 0.83
100, 0.83
101, 0.83
102, 0.83
103, 0.83
104, 0.83
105, 0.83
106, 0.83
107, 0.83
108, 0.83
109, 0.83
110, 0.00
111, 0.83
112, 0.83
113, 0.83
114, 0.83
115, 0.83
116, 0.83
117, 0.83
118, 0.83
119, 0.83
120, 0.83
121, 0.20
122, 0.20
123, 0.20
124, 0.20
125, 0.20
126, 0.83
127, 0.83
128, 0.83
129, 0.83
130, 0.83
131, 0.83
132, 0.83
133, 0.83
134, 0.83
135, 0.83
136, 0.83
137, 0.83
138, 0.20
139, 0.20
140, 0.20
141, 0.20
142, 0.20
143, 0.20
144, 0.20
145, 0.20
146, 0.20
147, 0.20
148, 0.20
149, 0.20
150, 0.20
151, 0.20
152, 0.20
153, 0.20
154, 0.20
155, 0.20
156, 0.20
157, 0.20
158, 0.20
159, 0.20
160, 0.20
161, 0.20
162, 0.20
163, 0.20
164, 0.20
165, 0.20
166, 0.20
167, 0.20
168, 0.20
169, 0.20
170, 0.20
171, 0.20
172, 0.20
173, 0.20
174, 0.92
175, 0.20
176, 0.83
177, 0.20
178, 0.20
179, 0.20
180, 0.20
181, 0.20
182, 0.20
183, 0.20
184, 0.20
185, 0.20
186, 0.20
187, 0.20
188, 0.20
189, 0.20
190, 0.20
191, 0.20
192, 0.99
193, 0.20
194, 0.20
195, 0.20
196, 0.20
197, 0.20
198, 0.20
199, 0.20
200, 0.20
201, 0.20
202, 0.20
203, 0.83
204, 0.83
205, 0.83
206, 0.20
207, 0.20
208, 0.20
209, 0.92
210, 0.20
211, 0.20
212, 0.20
213, 0.20
214, 0.20
215, 0.20
216, 0.83
217, 0.83
218, 0.83
219, 0.83
220, 0.83
221, 0.92
222, 0.83
223, 0.83
224, 0.92
225, 0.92
226, 0.92
227, 0.83
228, 0.83
229, 0.83
230, 0.83
231, 0.20
232, 0.20
233, 0.20
234, 0.20
235, 0.83
236, 0.83
237, 0.83
238, 0.20
239, 0.20
240, 0.20
241, 0.20
242, 0.20
243, 0.20
244, 0.20
245, 0.20
246, 0.20
247, 0.20
248, 0.20
249, 0.20
250, 0.20
251, 0.20
252, 0.20
253, 0.20
254, 0.20
255, 0.20
256, 0.20
257, 0.20
258, 0.20
259, 0.20
260, 0.20
261, 0.83
262, 0.20
263, 0.20
264, 0.20
265, 0.20
266, 0.20
267, 0.20
268, 0.20
269, 0.20
270, 0.20
271, 0.20
272, 0.20
273, 0.20
274, 0.20
275, 0.20
276, 0.20
277, 0.20
278, 0.20
279, 0.20
280, 0.20
281, 0.20
282, 0.83
283, 0.83
284, 0.92
285, 0.83
286, 0.83
287, 0.83
288, 0.83
289, 0.83
290, 0.83
291, 0.83
292, 0.83
293, 0.83
294, 0.20
295, 0.20
296, 0.20
297, 0.83
298, 0.20
299, 0.20
300, 0.20
301, 0.20
302, 0.20
303, 0.20
304, 0.20
305, 0.20
306, 0.20
307, 0.20
308, 0.83
309, 0.20
310, 0.83
311, 0.20
312, 0.20
313, 0.20
314, 0.20
315, 0.20
316, 0.20
317, 0.20
318, 0.20
319, 0.20
320, 0.20
321, 0.20
322, 0.20
323, 0.20
324, 0.20
325, 0.20
326, 0.20
327, 0.83
328, 0.83
329, 0.83
330, 0.83
331, 0.83
332, 0.83
333, 0.83
334, 0.83
335, 0.83
336, 0.20
337, 0.20
338, 0.83
339, 0.20
340, 0.20
341, 0.20
342, 0.20
343, 0.20
344, 0.20
345, 0.83
346, 0.20
347, 0.20
348, 0.20
349, 0.20
350, 0.20
351, 0.83
352, 0.83
353, 0.83
354, 0.83
355, 0.20
356, 0.20
357, 0.20
358, 0.20
359, 0.20
360, 0.20
361, 0.20
362, 0.20
363, 0.20
364, 0.20
365, 0.20
366, 0.20
367, 0.20
368, 0.83
369, 0.83
370, 0.83
371, 0.83
372, 0.83
373, 0.83
374, 0.83
375, 0.83
376, 0.83
377, 0.83
378, 0.20
379, 0.20
380, 0.20
381, 0.20
382, 0.20
383, 0.20
384, 0.20
385, 0.20
386, 0.20
387, 0.20
388, 0.00
389, 0.00
390, 0.92
391, 0.83
392, 0.83
393, 0.83
394, 0.83
395, 0.83
396, 0.83
397, 0.83
398, 0.20
399, 0.20
400, 0.20
401, 0.83
402, 0.83
403, 0.83
404, 0.83
405, 0.83
406, 0.83
407, 0.20
408, 0.83
409, 0.83
410, 0.83
411, 0.83
412, 0.83
413, 0.92
414, 0.83
415, 0.83
416, 0.83
417, 0.92
418, 0.83
419, 0.83
420, 0.83
421, 0.83
422, 0.83
423, 0.83
424, 0.83
425, 0.83
426, 0.83
427, 0.83
428, 0.83
429, 0.83
430, 0.83
431, 0.83
432, 0.83
433, 0.83
434, 0.83
435, 0.83
436, 0.83
437, 0.83
438, 0.83
439, 0.83
440, 0.83
441, 0.83
442, 0.83
443, 0.83
444, 0.83
445, 0.83
446, 0.20
447, 0.83
448, 0.83
449, 0.83
450, 0.83
451, 0.83
452, 0.83
453, 0.20
454, 0.83
455, 0.83
456, 0.83
457, 0.83
458, 0.20
459, 0.83
460, 0.20
461, 0.83
462, 0.83
463, 0.83
464, 0.20
465, 0.92
466, 0.20
467, 0.20
468, 0.92
469, 0.83
470, 0.83
471, 0.92
472, 0.20
473, 0.83
474, 0.83
475, 0.20
476, 0.92
477, 0.83
478, 0.83
479, 0.83
480, 0.83
481, 0.83
482, 0.83
483, 0.83
484, 0.83
485, 0.83
486, 0.83
487, 0.83
488, 0.83
489, 0.83
490, 0.83
491, 0.83
492, 0.83
493, 0.83
494, 0.20
495, 0.20
496, 0.83
497, 0.83
498, 0.83
499, 0.83
500, 0.83
501, 0.83
502, 0.83
503, 0.83
504, 0.83
505, 0.20
506, 0.83
507, 0.83
508, 0.83
509, 0.83
510, 0.83
511, 0.83
512, 0.83
513, 0.83
514, 0.83
515, 0.83
516, 0.83
517, 0.83
518, 0.83
519, 0.83
520, 0.83
521, 0.83
522, 0.83
523, 0.83
524, 0.83
525, 0.83
526, 0.83
527, 0.83
528, 0.83
529, 0.83
530, 0.83
531, 0.20
532, 0.83
533, 0.83
534, 0.83
535, 0.83
536, 0.83
537, 0.83
538, 0.83
539, 0.83
540, 0.20
541, 0.20
542, 0.20
543, 0.20
544, 0.20
545, 0.20
546, 0.20
547, 0.20
548, 0.20
549, 0.20
550, 0.20
551, 0.20
552, 0.20
553, 0.20
554, 0.20
555, 0.20
556, 0.20
557, 0.20
558, 0.20
559, 0.20
560, 0.83
561, 0.83
562, 0.83
563, 0.83
564, 0.83
565, 0.83
566, 0.83
567, 0.83
568, 0.92
569, 0.83
570, 0.92
571, 0.20
572, 0.20
573, 0.20
574, 0.20
575, 0.20
576, 0.83
577, 0.83
578, 0.83
579, 0.83
580, 0.83
581, 0.83
582, 0.83
583, 0.83
584, 0.83
585, 0.83
586, 0.83
587, 0.83
588, 0.83
589, 0.83
590, 0.83
591, 0.83
592, 0.83
593, 0.83
594, 0.83
595, 0.83
596, 0.83
597, 0.83
598, 0.92
599, 0.83
600, 0.83
601, 0.20
602, 0.20
603, 0.92
604, 0.20
605, 0.20
606, 0.83
607, 0.20
608, 0.20
609, 0.20
610, 0.20
611, 0.20
612, 0.20
613, 0.20
614, 0.20
615, 0.83
616, 0.83
617, 0.83
618, 0.83
619, 0.83
620, 0.83
621, 0.83
622, 0.92
623, 0.83
624, 0.92
625, 0.92
626, 0.83
627, 0.83
628, 0.83
629, 0.83
630, 0.83
631, 0.83
632, 0.83
633, 0.83
634, 0.83
635, 0.83
636, 0.83
637, 0.20
638, 0.20
639, 0.20
640, 0.20
641, 0.20
642, 0.20
643, 0.20
644, 0.20
645, 0.20
646, 0.20
647, 0.20
648, 0.20
